Month,Region,Category,Product,Revenue,Profit
Mar,West,Electronics,C,5569,2775
Aug,South,Furniture,E,7731,696
Apr,North,Electronics,A,3484,2939
Sep,West,Furniture,A,4085,233
Jan,North,Clothing,B,8469,122
Feb,West,Furniture,B,6014,1466
Apr,South,Clothing,B,9750,2760
Apr,East,Clothing,D,6620,1392
Jul,South,Electronics,D,3923,357
Aug,East,Electronics,E,2466,2540
Dec,South,Electronics,D,6606,2516
Apr,North,Clothing,D,9989,2130
Mar,North,Furniture,D,3988,2659
Jun,West,Electronics,D,3341,2721
Aug,North,Electronics,C,4769,701
Nov,East,Electronics,A,4301,2296
Oct,West,Furniture,E,6219,2882
Dec,North,Furniture,E,1504,1218
Jul,East,Clothing,A,8935,1660
Jun,North,Electronics,A,4115,2450
May,West,Furniture,E,1638,2312
Jan,East,Furniture,A,1678,237
Feb,North,Furniture,C,9314,387
Mar,West,Electronics,A,2620,2188
Sep,East,Furniture,A,3857,331
Jan,West,Furniture,B,1612,2757
Aug,West,Furniture,A,5377,1656
Dec,South,Clothing,A,7758,2799
Jan,East,Clothing,E,4168,790
Nov,West,Clothing,C,2001,603
Jul,North,Clothing,D,5831,2214
Sep,West,Clothing,D,7736,2639
Dec,East,Electronics,E,7490,2905
Feb,North,Clothing,C,5103,565
May,South,Clothing,E,3878,2148
Jun,North,Clothing,B,7600,542
Jan,East,Furniture,D,5457,2112
Mar,West,Furniture,C,6420,478
Nov,East,Clothing,E,8621,1663
Jun,North,Furniture,C,3786,785
Jan,North,Furniture,A,3786,2640
Jan,East,Furniture,A,1409,2261
May,West,Furniture,B,6955,1598
Oct,South,Clothing,B,1723,1070
May,North,Electronics,A,5982,2225
Mar,South,Electronics,D,8388,1316
Jul,West,Clothing,E,9215,520
Oct,East,Electronics,C,7450,2640
Jun,East,Clothing,C,5047,1103
Feb,East,Electronics,C,5978,2351
Dec,South,Clothing,A,6392,2855
Oct,North,Electronics,E,5698,2275
Jan,West,Clothing,C,6385,1828
Oct,North,Electronics,B,7530,846
Nov,North,Electronics,A,9819,1022
May,South,Furniture,D,5984,883
Jan,West,Furniture,E,4263,2754
Feb,South,Furniture,C,8010,476
Jul,West,Clothing,C,4448,811
Jan,South,Clothing,E,1439,2617
Jun,North,Electronics,B,5289,1174
May,South,Electronics,E,9271,1377
Jan,West,Clothing,C,5448,1572
Mar,East,Electronics,E,9287,184
Feb,East,Electronics,B,1938,2580
May,West,Furniture,E,5080,1829
Feb,North,Electronics,B,5442,2126
Mar,West,Clothing,B,7846,149
Apr,South,Clothing,D,3370,1173
May,South,Clothing,C,5668,2351
Jun,West,Furniture,D,9190,1051
Dec,South,Electronics,B,6979,1474
Oct,West,Electronics,E,9363,377
Sep,North,Electronics,C,5441,510
Mar,West,Electronics,B,7772,1293
Jun,South,Furniture,E,5884,2171
Sep,East,Clothing,B,5413,1694
Oct,South,Furniture,D,8149,294
Aug,West,Clothing,D,7441,1485
Sep,West,Clothing,E,8543,513
Sep,East,Furniture,A,1259,1242
Jan,South,Electronics,D,3925,881
Jun,South,Clothing,A,7718,1263
Sep,East,Furniture,E,1632,239
Aug,East,Clothing,B,9227,581
May,East,Furniture,A,5934,2381
Nov,East,Electronics,A,4767,875
Dec,East,Clothing,E,5087,1742
Jan,West,Furniture,A,1125,296
Oct,West,Clothing,E,4890,2148
Apr,North,Electronics,C,5862,2221
Nov,North,Electronics,B,4932,1335
Dec,East,Furniture,A,8355,239
May,East,Electronics,E,6998,2784
Oct,West,Electronics,D,9810,515
Sep,East,Electronics,D,8259,1724
Nov,South,Clothing,D,4672,1353
Mar,North,Furniture,D,1162,1601
Apr,South,Clothing,E,9613,2597
Mar,East,Furniture,C,4145,301
Jan,North,Clothing,E,2414,502
Jan,West,Electronics,B,4135,1301
Jun,East,Electronics,C,9624,1224
Dec,West,Clothing,D,7443,2923
Aug,East,Furniture,D,9052,2235
Oct,South,Clothing,A,9675,2824
Oct,West,Clothing,C,7543,284
Jun,West,Clothing,C,5507,1009
May,East,Furniture,B,4831,2570
Aug,West,Electronics,E,6441,306
Feb,East,Clothing,C,2448,2968
Jan,East,Electronics,B,3260,2744
Feb,West,Electronics,D,6710,767
Sep,South,Electronics,B,1387,1806
Feb,South,Furniture,A,3884,1826
Oct,East,Furniture,A,7614,378
Apr,East,Electronics,C,5952,2858
Jun,East,Furniture,A,8405,2228
Jul,North,Electronics,A,4741,246
Sep,West,Electronics,A,9329,1303
Dec,North,Electronics,B,9468,2544
Apr,North,Electronics,E,6707,2341
Jul,West,Clothing,E,8390,835
Jul,South,Clothing,B,2790,2964
Oct,West,Furniture,D,4063,1568
Aug,West,Electronics,E,9762,2298
Jun,East,Furniture,C,9230,1520
Mar,North,Clothing,C,4483,842
Sep,North,Electronics,D,4953,128
Nov,West,Electronics,C,3115,1286
Jun,West,Clothing,C,5917,2976
Apr,West,Furniture,A,9208,853
Jul,North,Clothing,B,4553,2525
May,North,Electronics,D,7335,2694
Jul,South,Clothing,E,6750,2124
Sep,North,Electronics,C,8259,414
Apr,West,Furniture,B,3663,732
Jun,East,Furniture,C,5006,714
Jan,East,Furniture,B,4121,2547
Feb,West,Furniture,A,8147,893
Oct,West,Clothing,B,6118,502
Jan,East,Clothing,B,7724,2382
Mar,East,Electronics,A,9922,909
Mar,North,Electronics,C,5365,1635
Apr,North,Furniture,E,6766,1854
Sep,West,Electronics,A,2550,602
Oct,East,Clothing,D,2699,2722
Apr,North,Electronics,C,8733,150
Oct,West,Electronics,C,5658,2078
Jun,West,Furniture,B,1197,1488
Jan,North,Furniture,A,6958,1246
Feb,South,Electronics,C,5470,990
Dec,East,Electronics,B,1168,2190
Dec,North,Furniture,E,6989,2979
Dec,North,Electronics,C,4258,493
Apr,West,Clothing,C,2206,998
Jul,West,Furniture,A,9437,432
Dec,East,Electronics,B,5560,2915
Sep,East,Furniture,B,9548,1964
Aug,South,Clothing,B,8366,1213
Jan,South,Furniture,B,1346,2188
Apr,North,Furniture,E,1201,878
May,East,Clothing,E,7025,2442
Oct,South,Electronics,C,3994,2864
Sep,South,Electronics,A,5135,911
Dec,South,Clothing,A,2422,1255
Sep,East,Furniture,E,7801,900
Mar,South,Furniture,A,9006,682
Jul,West,Furniture,D,8636,2472
Sep,South,Electronics,A,1331,138
Jun,South,Clothing,D,5742,2774
Nov,West,Furniture,A,6488,1837
Jul,South,Furniture,C,2727,1667
Aug,West,Furniture,D,8449,331
Feb,South,Electronics,D,3597,1705
Jan,South,Furniture,B,9684,1413
Oct,South,Electronics,A,6917,1968
Jul,South,Furniture,A,6710,824
Dec,East,Furniture,C,8126,1874
Jul,East,Electronics,E,8019,1540
Jul,West,Clothing,D,8548,2354
Nov,North,Electronics,C,1604,214
Jan,South,Electronics,E,4762,2816
Aug,North,Electronics,E,7727,2105
May,East,Electronics,A,8393,2690
May,West,Furniture,B,6230,1698
Jun,East,Clothing,D,4443,2013
Jun,West,Furniture,D,6467,2471
Jul,East,Clothing,B,3077,2340
Jan,North,Clothing,A,4856,2912
Feb,East,Furniture,E,8081,1857
Feb,East,Clothing,A,2416,2696
Dec,East,Electronics,C,6746,808
Aug,West,Clothing,B,4008,2131
Jan,West,Electronics,A,4094,1158
Apr,North,Electronics,A,4292,2859
Oct,East,Furniture,D,6345,2403
Apr,North,Clothing,E,9214,1281
Apr,North,Furniture,A,2115,2340
Oct,North,Electronics,A,6982,198
Feb,South,Electronics,A,3729,2464
Jul,South,Clothing,E,3228,2235
Sep,East,Clothing,E,7293,2702
Nov,East,Electronics,A,1848,868
Jun,West,Furniture,C,2176,363
Feb,South,Electronics,E,2126,2401
Mar,East,Electronics,B,8906,920
Sep,West,Clothing,E,6622,1617
Dec,South,Electronics,B,1007,1506
Aug,North,Electronics,A,7687,2146
Oct,East,Clothing,C,1197,2526
Jan,West,Furniture,C,3314,1083
Mar,West,Electronics,B,6857,1575
May,West,Electronics,A,9737,293
May,West,Clothing,B,9335,2931
Mar,East,Electronics,A,1183,308
Jun,West,Electronics,E,8141,707
May,East,Clothing,D,5073,471
Jul,East,Furniture,E,8083,1563
Dec,South,Electronics,C,2282,2697
Dec,South,Electronics,B,7737,2285
Nov,West,Clothing,A,9983,169
Sep,West,Furniture,D,9116,2702
Aug,South,Clothing,E,2147,2450
Sep,West,Electronics,D,9534,1771
Jan,South,Furniture,B,1031,2018
Dec,West,Furniture,A,8975,1101
Jan,West,Clothing,D,7212,2971
Sep,West,Electronics,D,7604,950
Mar,South,Furniture,D,2614,588
Jul,East,Electronics,D,2011,428
Jun,East,Clothing,C,5565,1472
Apr,North,Furniture,B,5049,1403
Dec,South,Electronics,E,5493,905
Sep,South,Clothing,D,5934,1715
Sep,East,Clothing,A,9740,1310
Mar,East,Clothing,C,3351,2382
Nov,West,Electronics,D,8373,2788
Jan,South,Electronics,A,2042,2982
Apr,South,Electronics,D,5314,164
Oct,North,Furniture,E,5529,2839
Oct,East,Furniture,E,5364,2836
Jul,South,Furniture,D,5057,1879
Mar,East,Clothing,C,3463,1166
Sep,South,Furniture,C,6220,1243
Jul,South,Electronics,D,3973,1365
Mar,East,Clothing,E,1558,1046
Aug,North,Furniture,D,2448,1514
Aug,North,Electronics,B,7746,847
Jun,South,Clothing,E,1963,1991
Jan,North,Clothing,E,1967,249
May,South,Clothing,D,3014,1717
Jan,North,Electronics,C,4242,1874
Apr,West,Electronics,C,9998,2224
Jun,South,Clothing,E,1108,2319
Apr,South,Clothing,C,3113,1260
Jan,West,Furniture,A,9011,2050
Feb,South,Furniture,E,9683,405
Mar,North,Clothing,B,6432,659
Nov,West,Furniture,C,3595,296
Nov,South,Clothing,B,5050,119
Dec,West,Furniture,D,9011,1118
Jul,North,Electronics,D,6158,187
Mar,West,Clothing,D,2492,2663
Sep,West,Furniture,D,9963,779
May,South,Electronics,E,7308,816
May,West,Clothing,D,8191,1824
Jun,North,Furniture,E,7099,2590
Jan,North,Furniture,A,7036,2996
Feb,East,Furniture,A,3112,1170
Dec,North,Furniture,C,8403,1631
Mar,South,Clothing,A,7782,1211
Dec,West,Clothing,C,3681,1959
Jun,North,Furniture,C,2498,551
May,North,Electronics,D,9692,161
May,East,Electronics,A,8427,1676
Aug,East,Clothing,E,4307,179
Feb,North,Clothing,A,6795,2065
Jul,West,Electronics,E,5109,2679
Apr,North,Electronics,D,2496,1207
May,East,Furniture,C,4946,2077
Apr,North,Electronics,A,3035,2618
Feb,South,Electronics,D,2201,192
Oct,North,Clothing,E,3484,1541
Jan,West,Electronics,B,7917,1101
Nov,East,Furniture,B,6429,291
Feb,North,Furniture,C,7023,1735
Jan,East,Furniture,B,1550,2006
Aug,South,Clothing,D,2417,764
Sep,North,Electronics,C,9601,2083
Jan,North,Electronics,B,6672,2769
Oct,North,Furniture,A,6954,253
Jan,East,Furniture,E,2479,905
Jul,West,Clothing,E,8689,1001
May,East,Furniture,B,3728,1438
Dec,North,Clothing,A,9908,1399
May,West,Clothing,A,6016,1564
Jun,South,Electronics,A,4086,2631
Feb,West,Furniture,D,5596,406
May,East,Electronics,A,5064,1700
Jun,South,Furniture,A,7884,184
Aug,South,Furniture,D,5295,2563
Feb,East,Electronics,D,7523,1496
Jan,North,Clothing,D,5302,2726
Mar,West,Furniture,C,4053,1012
Aug,East,Clothing,B,9458,1938
Jun,East,Furniture,A,7746,318
Jul,South,Electronics,E,9732,417
Apr,South,Furniture,A,8560,2913
Oct,East,Furniture,C,8938,437
Sep,South,Furniture,C,5256,229
Jun,East,Clothing,D,3639,244
Apr,South,Clothing,C,6124,2335
May,West,Clothing,E,6874,1734
Jun,West,Clothing,B,6273,477
Aug,South,Electronics,E,6071,2978
Apr,South,Furniture,B,7697,2710
Jan,South,Clothing,D,4000,1292
Mar,East,Furniture,D,2130,2604
Dec,South,Electronics,B,1704,1357
May,North,Furniture,B,1778,1519
Sep,East,Clothing,C,1869,2675
Dec,West,Electronics,E,4546,2865
Jun,South,Furniture,B,2994,2392
Sep,East,Furniture,A,4014,1108
Nov,East,Clothing,A,5697,1232
Nov,East,Electronics,C,2442,2805
Dec,West,Clothing,D,6843,1122
Jul,West,Clothing,C,1758,1199
May,East,Clothing,D,9046,257
Jul,West,Electronics,E,1395,369
Dec,West,Electronics,C,7145,1432
May,South,Furniture,A,9176,2410
Jun,West,Electronics,D,2391,1579
Jun,West,Electronics,A,4613,1854
Feb,North,Furniture,E,4538,2114
Feb,East,Clothing,B,5752,1474
May,East,Furniture,C,9998,2420
Sep,South,Clothing,C,1032,670
Aug,South,Electronics,E,8686,1212
Sep,East,Electronics,B,1308,2743
Aug,East,Clothing,B,1132,344
Nov,North,Clothing,A,9555,858
Feb,North,Clothing,D,5518,784
Mar,West,Clothing,B,3176,2526
May,West,Electronics,B,7281,1881
Oct,South,Clothing,C,6000,629
May,West,Furniture,A,2616,168
Dec,North,Clothing,C,7099,1666
Feb,East,Electronics,D,4235,1177
Jan,North,Furniture,E,1782,384
Jul,East,Furniture,D,4497,647
Nov,South,Furniture,A,3303,1828
Oct,West,Electronics,B,8705,1463
Jul,West,Clothing,E,5657,1782
Mar,South,Electronics,E,2047,1520
Feb,South,Clothing,A,8752,1138
Nov,North,Furniture,D,7995,2701
Mar,West,Clothing,B,1122,2378
Apr,North,Electronics,C,4167,2258
Aug,North,Clothing,C,7717,2399
May,East,Furniture,C,4867,1075
May,East,Electronics,A,6806,2775
Sep,North,Electronics,B,2591,2137
Feb,South,Furniture,A,5049,1969
Aug,West,Furniture,E,4918,563
Oct,South,Electronics,D,6636,302
Nov,East,Furniture,E,3132,2456
Aug,East,Furniture,C,8961,1051
Feb,East,Furniture,D,5662,1080
Jan,West,Electronics,A,3225,828
Dec,North,Electronics,D,6915,407
Feb,East,Furniture,E,9783,2280
Dec,East,Electronics,A,9444,2301
Aug,East,Electronics,D,3267,2285
Dec,East,Electronics,D,6142,1863
Jun,North,Clothing,B,4625,2391
Oct,East,Furniture,D,4655,1971
Dec,West,Electronics,C,3900,998
Sep,West,Furniture,A,2728,2035
Feb,North,Furniture,B,3880,313
Mar,South,Clothing,B,7151,290
Oct,West,Furniture,E,3028,2764
Sep,West,Furniture,D,7608,1940
Mar,West,Electronics,B,8767,1317
Mar,West,Furniture,A,6156,2899
Oct,East,Furniture,D,9622,2508
Mar,West,Electronics,E,4443,607
Jun,East,Electronics,B,6565,685
Mar,East,Clothing,B,5357,1047
Mar,North,Clothing,E,3047,951
Nov,South,Electronics,B,6613,1887
Oct,East,Furniture,B,6262,2942
May,East,Electronics,C,4604,1954
